shop_name,category,name_product,product_id,url_product,main_ingredient,attributes,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,is_premium,rarity_score
Никитин Ферм,Мясо и птица,говядина печень,25940,https://svoe-rodnoe.ru/category/subprodukty/10619-004-000073-govjadina-pechen,говядина,"[""печень""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,индейка тушка,25899,https://svoe-rodnoe.ru/category/indejka/10619-004-000012-indejka-tushka,индейка,"[""тушка""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,петух суповой,25893,https://svoe-rodnoe.ru/category/chicken/10619-004-000008-petuh-supovoj,петух,"[""суповой""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,сало пряное в перце,25347,https://svoe-rodnoe.ru/category/salo/10619-004-000078-salo-prjanoe-v-perce,сало,"[""пряный"", ""перец""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,сальтисон языковый,25326,https://svoe-rodnoe.ru/category/syrokopchenaya-kolbasa/10619-002-000007-sal-tison-jazykovyj,сальтисон,"[""языковый""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,свинина корейка на кости,26389,https://svoe-rodnoe.ru/category/svinaja-korejka/10619-004-000025-svinina-korejka-na-kosti,свинина,"[""корейка"", ""кость""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,свинина лопатка без кости,26391,https://svoe-rodnoe.ru/category/lopatka-svinaja/10619-004-000027-svinina-lopatka-bez-kosti,свинина,"[""лопатка"", ""кость""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,свинина рёбра,26396,https://svoe-rodnoe.ru/category/svinye-rebra/10619-004-000032-svinina-rjobra,свинина,"[""ребро""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,свинина шейка,26392,https://svoe-rodnoe.ru/category/svinaja-shejka/10619-004-000028-svinina-shejka,свинина,"[""шейк""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,утка серая украинская,25896,https://svoe-rodnoe.ru/category/utka/10619-004-000010-utka-seraja-ukrainskaja,утка,"[""серый"", ""украинский""]",0,0,0,0,0,0,0,0,1,1,1,0,0,10
Никитин Ферм,Мясо и птица,фарш баранина,26662,https://svoe-rodnoe.ru/category/farsh-iz-baraniny/10619-004-000049-farsh-baranina,фарш,"[""баранина""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,фарш свинина,26656,https://svoe-rodnoe.ru/category/farsh-svinoj/10619-004-000047-farsh-svinina,фарш,"[""свинина""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,фарш свинина-говядина,26663,https://svoe-rodnoe.ru/category/farsh-domashnij/10619-004-000050-farsh-svinina-govjadina,фарш,"[""свинина"", ""говядина""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,филе индейки,25901,https://svoe-rodnoe.ru/category/indejka/10619-004-000013-file-indejki,филе,"[""индейка""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Овощи и фрукты,картофель,25370,https://svoe-rodnoe.ru/category/vegetables/10619-005-000001-kartofel,картофель,[],1,1,1,1,0,1,1,1,1,1,1,1,0,2
Никитин Ферм,Овощи и фрукты,лук зеленый,25403,https://svoe-rodnoe.ru/category/zelen/10619-005-0000101-luk-zelenyj,лук,"[""зелёный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Овощи и фрукты,перец болгарский зеленый,25399,https://svoe-rodnoe.ru/category/vegetables/10619-004-000105-perec-bolgarskij-zelenyj,перец,"[""болгарский"", ""зелёный""]",0,0,0,0,0,0,0,1,1,1,0,0,0,10
Лукино,Бакалея,"баранья тушенка 0,5 л.",60649,https://svoe-rodnoe.ru/category/stew/10872-366-baran-ja-tushenka-0-5-l,тушёнка,"[""бараний""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,"борщ 0,65 л.",60890,https://svoe-rodnoe.ru/category/supy-i-bul-ony/10872-318-borsch-0-65-l,борщ,[],1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,"бочковые огурцы 1,5 л.",61064,https://svoe-rodnoe.ru/category/marinovannaja-i-solenaja/10872-1457-bochkovye-ogurcy-1-5-l,огурец,"[""бочковый""]",0,0,0,0,0,1,1,1,0,0,0,0,0,10
Лукино,Бакалея,говяжий бульон 1 л.,60888,https://svoe-rodnoe.ru/category/supy-i-bul-ony/10872-369-govjazhij-bul-on-1-l,бульон,"[""говяжий""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,"горлодёр 0,25 л.",60669,https://svoe-rodnoe.ru/category/butter-sauces/10872-5106-gorlodjor-0-25-l,горлодёр,[],1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,"грибная солянка 0,65 л.",60887,https://svoe-rodnoe.ru/category/supy-i-bul-ony/10872-373-gribnaja-soljanka-0-65-l,солянка,"[""грибной""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,картофельные зразы 4 шт.,60965,https://svoe-rodnoe.ru/category/zakuski-salaty-i-supy/10872-204-kartofel-nye-zrazy-4-sht,зраза,"[""картофельный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,"каша пшенная 0,25 кг.",60532,https://svoe-rodnoe.ru/category/suhie-zavtraki/10872-5237-kasha-pshennaja-0-25-kg,каша,"[""пшённый""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,маринованные помидоры 3 л.,61062,https://svoe-rodnoe.ru/category/marinovannaja-i-solenaja/10872-453-marinovannye-pomidory-3-l,помидор,"[""мариновать""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,"морковный пирог 0,3 кг.",60973,https://svoe-rodnoe.ru/category/zakuski-salaty-i-supy/10872-5306-morkovnyj-pirog-0-3-kg,пирог,"[""морковный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,"свиная тушенка 0,5 л.",60650,https://svoe-rodnoe.ru/category/stew/10872-364-svinaja-tushenka-0-5-l,тушёнка,"[""свиной""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,"свино-говяжья тушенка 0,5 л.",60647,https://svoe-rodnoe.ru/category/stew/10872-389-svino-govjazh-ja-tushenka-0-5-l,свино,"[""говяжий"", ""тушёнка""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,"утренний бриз 0,1 кг.",61164,https://svoe-rodnoe.ru/category/chai-i-travy/10872-250-utrennij-briz-0-1-kg,бриз,"[""утренний""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,"хрен тертый 0,25 л.",60672,https://svoe-rodnoe.ru/category/butter-sauces/10872-5107-hren-tertyj-0-25-l,хрен,"[""тёртый""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,"чабрец отборный 0,1 кг.",61165,https://svoe-rodnoe.ru/category/chai-i-travy/10872-254-chabrec-otbornyj-0-1-kg,чабрец,"[""отборный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Бакалея,"шиповник отборный 0,1 кг.",61168,https://svoe-rodnoe.ru/category/chai-i-travy/10872-251-shipovnik-otbornyj-0-1-kg,шиповник,"[""отборный""]",1,1,1,0,0,0,0,0,1,1,1,1,0,6
Лукино,Заморозка,"детские пельмешки 0,5 кг.",61144,https://svoe-rodnoe.ru/category/pel-meni/10872-5181-detskie-pel-meshki-0-5-kg,пельмешек,"[""детский""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Заморозка,"купаты куриные 0,5 кг.",60938,https://svoe-rodnoe.ru/category/kotlety/10872-4590-kupaty-kurinye-0-5-kg,купат,"[""куриный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Заморозка,"наггетсы куриные 0,3 кг.",60930,https://svoe-rodnoe.ru/category/kotlety/10872-4692-naggetsy-kurinye-0-3-kg,наггетс,"[""куриный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Заморозка,"равиоли со шпинатом 0,25 кг.",61143,https://svoe-rodnoe.ru/category/pel-meni/10872-3158-ravioli-so-shpinatom-0-25-kg,равиоли,"[""шпинат""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Заморозка,чебуреки с картошкой 5 шт.,61127,https://svoe-rodnoe.ru/category/polufabrikaty-mjasnye/10872-5154-chebureki-s-kartoshkoj-5-sht,чебурек,"[""картошка""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,"баранья мякоть 0,5 кг.",60850,https://svoe-rodnoe.ru/category/mutton/10872-489-baran-ja-mjakot-0-5-kg,мякоть,"[""бараний""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,"большой стейк из баранины 0,45 кг.",60848,https://svoe-rodnoe.ru/category/mutton/10872-4857-bol-shoj-stejk-iz-baraniny-0-45-kg,стейк,"[""большой"", ""баранина""]",1,1,1,1,1,1,1,1,1,1,1,1,1,1
Лукино,Мясо и птица,"говяжий топленый жир 0,25 л.",60594,https://svoe-rodnoe.ru/category/govjadina/10872-5180-govjazhij-toplenyj-zhir-0-25-l,жир,"[""говяжий"", ""топлёный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,говяжий хвост 1 кг.,60613,https://svoe-rodnoe.ru/category/govjadina/10872-5282-govjazhij-hvost-1-kg,хвост,"[""говяжий""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,говяжьи ребрышки  1 кг.,60609,https://svoe-rodnoe.ru/category/govjadina/10872-411-govjazh-i-rebryshki-1-kg,рёбрышко,"[""говяжий""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,"говяжья мякоть 0,5 кг.",60599,https://svoe-rodnoe.ru/category/govjadina/10872-141-govjazh-ja-mjakot-0-5-kg,мякоть,"[""говяжий""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,говяжья обрезь 1 кг.,60601,https://svoe-rodnoe.ru/category/govjadina/10872-143-govjazh-ja-obrez-1-kg,обрезь,"[""говяжий""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,"гуляш из говядины 0,5 кг.",60612,https://svoe-rodnoe.ru/category/govjadina/10872-4851-guljash-iz-govjadiny-0-5-kg,гуляш,"[""говядина""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,гусь в маринаде 4 кг.,61069,https://svoe-rodnoe.ru/category/chicken/10872-5137-gus-v-marinade-4-kg,гусь,"[""маринад""]",0,0,0,0,0,0,0,0,0,0,1,0,0,12
Лукино,Мясо и птица,домашние перепела 1 шт.,61074,https://svoe-rodnoe.ru/category/chicken/10872-108-domashnie-perepela-1-sht,перепел,"[""домашний""]",1,1,1,1,1,1,1,1,1,1,1,1,1,1
